transaction_id,merchant_id,amount,timestamp,payment_method,failure_code,retry_count,webhook_delay_seconds,gateway_error_rate_delta,merchant_failure_rate_delta,cross_merchant_failure_rate,customer_previous_successes,customer_previous_failures,incident_active,actual_root_cause
txn_000640_ff10d2,merchant_021,934.69,2026-08-01T07:54:23,card,user_cancelled,0,0.5,0.0247,0.0632,0.0963,1,1,0,USER_ABANDONMENT
txn_000738_30c5d2,merchant_040,1321.16,2026-08-01T08:05:32,wallet,otp_timeout,1,1.57,0.0118,0.0291,0.0715,8,2,0,OTP_TIMEOUT
txn_000487_13c9f1,merchant_005,797.69,2026-08-01T08:12:09,netbanking,gateway_timeout,1,0.49,0.6823,0.384,0.3735,5,0,0,INFRASTRUCTURE
txn_001037_ae9dd4,merchant_011,1190.21,2026-08-01T08:20:53,wallet,insufficient_funds,1,1.71,0.0863,0.0445,0.1314,1,3,0,INSUFFICIENT_FUNDS
txn_000524_afe47a,merchant_039,352.33,2026-08-01T08:57:20,netbanking,invalid_card,2,1.36,0.004,0.0787,0.0123,1,1,0,CARD_DECLINE
txn_000485_995a92,merchant_036,7455.66,2026-08-01T09:16:55,upi,session_expired,0,7.14,0.094,0.1366,0.0,3,0,0,USER_ABANDONMENT
txn_000958_b91e99,merchant_010,1997.14,2026-08-01T09:52:10,wallet,gateway_timeout,1,9.2,0.3265,0.1847,0.1787,6,1,0,WEBHOOK_AMBIGUITY
txn_000595_e8b5f4,merchant_013,2570.38,2026-08-01T09:54:38,upi,gateway_timeout,1,24.48,0.1531,0.4212,0.1567,6,2,0,WEBHOOK_AMBIGUITY
txn_001333_3416bc,merchant_039,519.85,2026-08-01T10:04:22,netbanking,gateway_timeout,0,5.57,0.4594,0.4165,0.6393,5,0,0,INFRASTRUCTURE
txn_001326_b49b24,merchant_003,2991.61,2026-08-01T10:27:09,wallet,issuer_declined,1,0.4,0.1341,0.0807,0.0522,3,0,0,CARD_DECLINE
txn_000374_58bb0c,merchant_031,511.83,2026-08-01T10:38:08,card,card_expired,2,0.55,0.0339,0.0599,0.0721,1,1,0,CARD_DECLINE
txn_000669_f39173,merchant_033,615.83,2026-08-01T10:44:31,netbanking,3ds_auth_failed,0,1.09,0.1142,0.0,0.0577,6,0,0,OTP_TIMEOUT
txn_000733_9dc9e1,merchant_038,8212.4,2026-08-01T11:29:49,netbanking,user_cancelled,0,1.84,0.0279,0.0179,0.0196,6,0,0,USER_ABANDONMENT
txn_000887_4ab36e,merchant_029,796.72,2026-08-01T11:34:32,wallet,insufficient_funds,1,0.09,0.0,0.0,0.0923,0,1,0,INSUFFICIENT_FUNDS
txn_001049_009d7c,merchant_026,1173.22,2026-08-01T11:46:16,wallet,session_expired,0,2.89,0.1716,0.0851,0.0462,9,0,0,USER_ABANDONMENT
txn_001226_697e48,merchant_026,713.34,2026-08-01T11:58:35,netbanking,user_cancelled,0,0.82,0.0634,0.0,0.0133,3,0,0,USER_ABANDONMENT
txn_001146_864bc8,merchant_021,534.93,2026-08-01T12:17:33,wallet,gateway_timeout,1,4.85,0.6737,0.5223,0.4513,3,1,0,INFRASTRUCTURE
txn_000739_88512d,merchant_032,995.49,2026-08-01T12:18:06,upi,invalid_card,0,3.63,0.0,0.0,0.0648,6,0,0,CARD_DECLINE
txn_000637_993c09,merchant_040,279.88,2026-08-01T12:18:19,card,session_expired,0,2.96,0.0349,0.0,0.1202,7,0,0,USER_ABANDONMENT
txn_001456_0409df,merchant_015,1284.38,2026-08-01T12:20:59,upi,insufficient_funds,0,0.83,0.0516,0.0073,0.0524,4,6,0,INSUFFICIENT_FUNDS
txn_001297_e492d6,merchant_013,443.08,2026-08-01T12:22:34,netbanking,unknown,0,17.53,0.0495,0.4039,0.1424,4,2,0,WEBHOOK_AMBIGUITY
txn_000575_957e0f,merchant_028,3697.02,2026-08-01T12:51:41,upi,insufficient_funds,0,0.08,0.119,0.0765,0.0818,3,1,0,INSUFFICIENT_FUNDS
txn_001025_4cee10,merchant_001,11435.13,2026-08-01T13:10:27,netbanking,3ds_auth_failed,0,2.94,0.0355,0.1257,0.0727,5,0,0,OTP_TIMEOUT
txn_000062_9245a5,merchant_005,5803.15,2026-08-01T13:18:24,netbanking,service_unavailable,0,7.92,0.7183,0.38,0.4263,9,0,0,INFRASTRUCTURE
txn_001191_5e342b,merchant_012,2845.7,2026-08-01T14:16:03,upi,insufficient_funds,1,0.53,0.0943,0.0757,0.0785,2,5,0,INSUFFICIENT_FUNDS
txn_001208_11eda7,merchant_039,4092.58,2026-08-01T14:24:39,card,otp_timeout,1,0.62,0.1941,0.0568,0.0189,7,0,0,OTP_TIMEOUT
txn_000037_b335ef,merchant_017,1266.23,2026-08-01T14:55:19,wallet,unknown,1,13.09,0.2573,0.0,0.1834,2,3,0,WEBHOOK_AMBIGUITY
txn_000044_47c321,merchant_032,2408.6,2026-08-01T15:46:00,netbanking,3ds_auth_failed,1,5.04,0.2059,0.1094,0.0,8,1,1,OTP_TIMEOUT
txn_001111_44b121,merchant_015,6126.16,2026-08-01T15:49:32,upi,service_unavailable,0,4.34,0.6729,0.5474,0.3352,6,0,0,INFRASTRUCTURE
txn_001099_a2df4b,merchant_012,5356.77,2026-08-01T15:55:30,netbanking,card_expired,0,0.72,0.0,0.0994,0.025,5,1,0,CARD_DECLINE
txn_000423_7aeb06,merchant_021,2387.09,2026-08-01T15:59:07,wallet,issuer_declined,0,0.82,0.0137,0.0,0.02,1,3,0,CARD_DECLINE
txn_000310_b0e413,merchant_018,7034.9,2026-08-01T17:10:24,netbanking,unknown,0,14.78,0.2186,0.3307,0.1483,4,0,0,WEBHOOK_AMBIGUITY
txn_000502_a96e32,merchant_029,4720.68,2026-08-01T17:20:38,wallet,insufficient_funds,0,0.77,0.0,0.0845,0.0307,2,1,0,INSUFFICIENT_FUNDS
txn_001101_9d6a8c,merchant_004,496.74,2026-08-01T18:13:48,upi,internal_error,1,13.24,0.5176,0.6061,0.2547,3,2,0,INFRASTRUCTURE
txn_000660_b73dac,merchant_020,2048.81,2026-08-01T19:30:06,upi,3ds_auth_failed,1,2.92,0.0599,0.055,0.005,7,1,0,OTP_TIMEOUT
txn_000478_d5e8b2,merchant_033,182.51,2026-08-01T19:35:17,upi,issuer_declined,2,2.14,0.0,0.0525,0.0,1,1,1,CARD_DECLINE
txn_001397_648320,merchant_020,1376.18,2026-08-01T19:43:17,wallet,user_cancelled,0,4.14,0.033,0.1761,0.0693,3,0,0,USER_ABANDONMENT
txn_001260_f77477,merchant_021,1622.96,2026-08-01T20:17:08,upi,insufficient_funds,0,0.37,0.1022,0.1076,0.008,1,3,0,INSUFFICIENT_FUNDS
txn_000919_84104e,merchant_020,1592.54,2026-08-01T20:23:18,netbanking,otp_timeout,0,0.08,0.1112,0.0278,0.0,7,1,0,OTP_TIMEOUT
txn_000303_5615c2,merchant_027,1188.57,2026-08-01T20:50:40,netbanking,internal_error,0,6.54,0.5664,0.113,0.3955,3,0,0,INFRASTRUCTURE
txn_001192_1c4f53,merchant_029,2731.06,2026-08-01T21:38:09,netbanking,insufficient_funds,0,2.35,0.0082,0.0,0.0429,2,2,0,INSUFFICIENT_FUNDS
txn_000859_d6d666,merchant_025,5873.9,2026-08-01T21:48:00,card,gateway_timeout,1,10.99,0.37,0.4543,0.4803,3,1,0,INFRASTRUCTURE
txn_000432_463a1b,merchant_036,51292.47,2026-08-01T22:09:51,card,invalid_card,2,1.56,0.0189,0.0065,0.093,2,3,0,CARD_DECLINE
txn_000118_da98e1,merchant_030,6911.69,2026-08-01T22:38:10,wallet,unknown,1,22.06,0.2464,0.2668,0.1673,5,1,0,WEBHOOK_AMBIGUITY
txn_000749_b600be,merchant_039,10613.43,2026-08-01T22:48:21,wallet,issuer_declined,2,0.22,0.0491,0.0526,0.0779,2,1,0,CARD_DECLINE
txn_000960_45c5ce,merchant_025,6140.52,2026-08-01T22:57:49,card,service_unavailable,0,7.75,0.6577,0.2527,0.5302,6,1,0,INFRASTRUCTURE
txn_000862_bbf63a,merchant_024,468.36,2026-08-01T23:34:54,card,insufficient_funds,1,3.33,0.0571,0.0679,0.0742,2,1,0,INSUFFICIENT_FUNDS
txn_001237_8e1cab,merchant_006,6512.3,2026-08-01T23:46:10,wallet,gateway_timeout,1,6.74,0.3957,0.5645,0.2317,0,0,0,INFRASTRUCTURE
txn_001185_d5d08b,merchant_015,1586.65,2026-08-01T23:46:33,netbanking,insufficient_funds,1,0.53,0.0268,0.084,0.0,2,4,0,INSUFFICIENT_FUNDS
txn_001188_6ed3c4,merchant_039,2101.85,2026-08-02T00:17:56,card,insufficient_funds,0,1.28,0.0326,0.0735,0.0274,1,1,0,INSUFFICIENT_FUNDS
txn_000288_20c9ca,merchant_011,3761.74,2026-08-02T00:26:28,wallet,internal_error,1,5.45,0.3104,0.5066,0.2565,8,1,1,INFRASTRUCTURE
txn_000252_5ccc51,merchant_011,785.77,2026-08-02T00:31:42,card,gateway_timeout,0,16.27,0.047,0.164,0.0,5,2,0,WEBHOOK_AMBIGUITY
txn_000635_33f36f,merchant_017,1647.18,2026-08-02T01:30:00,netbanking,gateway_timeout,1,1.41,0.564,0.0,0.2869,1,0,0,INFRASTRUCTURE
txn_001454_999dfe,merchant_036,676.62,2026-08-02T02:33:44,upi,user_cancelled,0,6.18,0.0,0.1686,0.0067,11,1,0,USER_ABANDONMENT
txn_001162_d14f51,merchant_016,315.38,2026-08-02T02:50:43,netbanking,3ds_auth_failed,0,0.38,0.1137,0.0152,0.0001,1,0,0,OTP_TIMEOUT
txn_000139_390fb2,merchant_037,2814.63,2026-08-02T02:52:33,wallet,gateway_timeout,0,13.85,0.0,0.0534,0.0,4,2,0,WEBHOOK_AMBIGUITY
txn_000016_0bb30a,merchant_021,435.44,2026-08-02T02:54:16,wallet,otp_timeout,0,0.36,0.1268,0.0676,0.05,4,0,0,OTP_TIMEOUT
txn_001353_9083a1,merchant_002,31775.06,2026-08-02T03:03:42,card,card_expired,0,5.2,0.0,0.0124,0.0876,0,4,0,CARD_DECLINE
txn_000679_18e0eb,merchant_015,8088.23,2026-08-02T03:54:19,netbanking,session_expired,0,1.95,0.0157,0.0216,0.0106,6,0,0,USER_ABANDONMENT
txn_000286_c9c15a,merchant_019,3650.65,2026-08-02T03:55:03,wallet,issuer_declined,0,1.3,0.0245,0.0,0.0189,4,1,0,CARD_DECLINE
txn_000329_ad31a4,merchant_007,185.04,2026-08-02T04:45:27,card,card_expired,1,1.66,0.0733,0.0786,0.0808,2,2,0,CARD_DECLINE
txn_000503_f5ed4c,merchant_035,4228.68,2026-08-02T04:48:18,wallet,insufficient_funds,0,5.39,0.1175,0.0,0.0471,3,2,0,INSUFFICIENT_FUNDS
txn_000630_fad5dc,merchant_018,1429.08,2026-08-02T04:51:11,netbanking,gateway_timeout,1,19.27,0.1462,0.2071,0.1697,8,1,0,WEBHOOK_AMBIGUITY
txn_000542_9110c8,merchant_001,945.73,2026-08-02T05:18:58,wallet,gateway_timeout,1,6.05,0.7126,0.1559,0.4441,3,0,0,INFRASTRUCTURE
txn_000419_a6e372,merchant_003,573.8,2026-08-02T06:01:05,upi,session_expired,0,0.51,0.0746,0.0335,0.0919,6,0,0,USER_ABANDONMENT
txn_001246_399041,merchant_032,1567.85,2026-08-02T06:31:07,card,invalid_card,1,6.05,0.0,0.001,0.06,2,2,0,CARD_DECLINE
txn_000719_0e16d0,merchant_009,3369.87,2026-08-02T06:31:27,upi,insufficient_funds,0,3.24,0.0135,0.08,0.0145,1,3,0,INSUFFICIENT_FUNDS
txn_000930_f26684,merchant_007,595.73,2026-08-02T06:32:06,card,unknown,1,11.81,0.4659,0.1771,0.1113,3,1,0,WEBHOOK_AMBIGUITY
txn_000763_97518c,merchant_026,1541.32,2026-08-02T06:51:08,card,card_expired,1,0.63,0.1815,0.0598,0.0653,2,4,0,CARD_DECLINE
txn_000571_0befe9,merchant_020,430.71,2026-08-02T06:51:42,upi,3ds_auth_failed,0,5.14,0.167,0.01,0.0668,4,0,0,OTP_TIMEOUT
txn_001379_13cac9,merchant_027,1219.4,2026-08-02T07:53:28,wallet,unknown,1,18.37,0.2484,0.0952,0.1424,1,0,0,WEBHOOK_AMBIGUITY
txn_000174_b53e4e,merchant_037,3338.44,2026-08-02T08:05:11,wallet,otp_timeout,0,1.89,0.0,0.0885,0.0157,3,0,1,OTP_TIMEOUT
txn_000558_4c6502,merchant_031,394.0,2026-08-02T09:06:28,wallet,internal_error,1,5.06,0.1865,0.4403,0.3048,4,0,0,INFRASTRUCTURE
txn_001139_8168cc,merchant_039,3209.78,2026-08-02T09:16:03,wallet,3ds_auth_failed,0,0.34,0.1658,0.0612,0.0,7,0,0,OTP_TIMEOUT
txn_001214_f2bf3a,merchant_006,1214.88,2026-08-02T10:34:45,wallet,user_cancelled,0,0.06,0.1888,0.0376,0.0343,5,1,0,USER_ABANDONMENT
txn_001309_ad9a8c,merchant_020,2034.88,2026-08-02T10:53:03,upi,issuer_declined,0,2.37,0.0833,0.0869,0.0382,0,2,0,CARD_DECLINE
txn_001281_e5d000,merchant_014,723.53,2026-08-02T10:54:46,netbanking,session_expired,0,0.13,0.0,0.0028,0.1019,6,2,1,USER_ABANDONMENT
txn_000193_e70f1f,merchant_028,9304.31,2026-08-02T11:31:40,netbanking,session_expired,0,5.0,0.0245,0.0,0.0182,9,1,0,USER_ABANDONMENT
txn_000231_90d32b,merchant_040,872.18,2026-08-02T11:49:40,upi,issuer_declined,0,3.77,0.0591,0.0708,0.047,0,4,0,CARD_DECLINE
txn_000384_d23929,merchant_022,6778.08,2026-08-02T12:05:31,netbanking,internal_error,0,4.18,0.5183,0.5694,0.1969,5,0,0,INFRASTRUCTURE
txn_000030_3fb23b,merchant_026,1346.53,2026-08-02T12:19:04,wallet,gateway_timeout,1,7.84,0.4253,0.1241,0.2132,7,0,0,INFRASTRUCTURE
txn_000401_2fc621,merchant_038,8691.33,2026-08-02T12:35:09,wallet,internal_error,0,6.97,0.3687,0.3068,0.88,1,0,0,INFRASTRUCTURE
txn_000294_485c6f,merchant_014,1671.04,2026-08-02T13:01:48,wallet,insufficient_funds,1,0.05,0.0167,0.0165,0.0476,1,2,0,INSUFFICIENT_FUNDS
txn_000385_b5a797,merchant_010,9076.39,2026-08-02T13:06:01,netbanking,internal_error,1,3.38,0.7025,0.3156,0.0,4,1,1,INFRASTRUCTURE
txn_001151_7fdbc0,merchant_037,2643.61,2026-08-02T13:44:01,card,3ds_auth_failed,0,6.02,0.0346,0.0471,0.0695,2,0,0,OTP_TIMEOUT
txn_001253_61cb69,merchant_034,975.14,2026-08-02T13:56:42,upi,insufficient_funds,0,0.85,0.0503,0.0428,0.0355,5,1,0,INSUFFICIENT_FUNDS
txn_001438_9aa74c,merchant_025,950.3,2026-08-02T14:30:56,netbanking,insufficient_funds,1,0.12,0.0589,0.0,0.1005,2,2,0,INSUFFICIENT_FUNDS
txn_001064_551c4b,merchant_012,1732.25,2026-08-02T14:38:25,wallet,card_expired,0,0.02,0.0933,0.0446,0.0395,3,3,0,CARD_DECLINE
txn_000634_fbad5e,merchant_030,2128.1,2026-08-02T14:55:12,upi,session_expired,0,6.26,0.0378,0.0,0.0522,8,0,0,USER_ABANDONMENT
txn_000884_a3ffce,merchant_030,2011.52,2026-08-02T15:19:30,wallet,session_expired,0,2.31,0.0729,0.0442,0.0455,3,1,0,USER_ABANDONMENT
txn_001337_54274f,merchant_002,1388.76,2026-08-02T15:23:05,upi,insufficient_funds,0,0.34,0.0657,0.1176,0.061,1,3,0,INSUFFICIENT_FUNDS
txn_001180_edef69,merchant_034,547.3,2026-08-02T15:46:00,wallet,session_expired,0,1.41,0.0,0.0792,0.0397,1,0,0,USER_ABANDONMENT
txn_001347_69a0c1,merchant_037,8938.24,2026-08-02T16:26:08,card,insufficient_funds,0,1.01,0.0953,0.1252,0.0572,1,0,0,INSUFFICIENT_FUNDS
txn_001040_8c7066,merchant_003,1151.82,2026-08-02T16:37:17,upi,session_expired,0,3.62,0.1455,0.0858,0.0356,7,0,0,USER_ABANDONMENT
txn_000698_108d57,merchant_008,562.16,2026-08-02T17:05:38,card,insufficient_funds,1,1.68,0.0512,0.0512,0.0157,2,2,0,INSUFFICIENT_FUNDS
txn_000154_7583a5,merchant_014,5303.39,2026-08-02T17:11:21,netbanking,session_expired,0,3.46,0.0487,0.0299,0.0406,3,0,0,USER_ABANDONMENT
txn_000146_010dd7,merchant_010,6991.49,2026-08-02T17:32:37,wallet,unknown,1,12.2,0.4522,0.1001,0.2082,13,1,0,WEBHOOK_AMBIGUITY
txn_000073_0dfa2e,merchant_031,142.29,2026-08-02T17:57:52,upi,insufficient_funds,0,0.86,0.1097,0.0,0.0818,3,2,1,INSUFFICIENT_FUNDS
txn_001159_0cf20b,merchant_019,325.07,2026-08-02T18:26:29,wallet,unknown,0,23.31,0.3087,0.1448,0.0,9,1,0,WEBHOOK_AMBIGUITY
txn_001251_a972b6,merchant_027,386.96,2026-08-02T18:36:08,upi,card_expired,1,0.72,0.1108,0.0473,0.0272,1,3,0,CARD_DECLINE
txn_000525_91ea33,merchant_007,9369.0,2026-08-02T19:14:33,wallet,insufficient_funds,0,0.48,0.0099,0.0,0.0794,4,1,0,INSUFFICIENT_FUNDS
txn_000537_f7429f,merchant_008,65.86,2026-08-02T19:27:41,upi,service_unavailable,1,9.74,0.3727,0.7274,0.3485,3,1,0,INFRASTRUCTURE
txn_000562_6a38c8,merchant_034,2468.23,2026-08-02T19:46:13,wallet,service_unavailable,0,1.0,0.8525,0.6338,0.7091,5,0,0,INFRASTRUCTURE
txn_000144_20bf00,merchant_031,866.25,2026-08-02T19:55:54,netbanking,insufficient_funds,0,2.82,0.0622,0.0573,0.0918,0,5,0,INSUFFICIENT_FUNDS
txn_001255_922f27,merchant_010,1165.79,2026-08-02T20:04:53,netbanking,gateway_timeout,1,3.8,0.377,0.3939,0.495,7,0,0,INFRASTRUCTURE
txn_000342_f2626f,merchant_016,4970.68,2026-08-02T20:29:15,netbanking,service_unavailable,1,6.4,0.5959,0.5284,0.27,7,0,0,INFRASTRUCTURE
txn_001035_24e693,merchant_013,397.96,2026-08-02T20:32:18,upi,unknown,0,14.14,0.0599,0.1146,0.2349,3,1,0,WEBHOOK_AMBIGUITY
txn_000624_f6e768,merchant_003,1879.24,2026-08-02T21:00:39,netbanking,insufficient_funds,1,1.6,0.138,0.0,0.0716,2,3,0,INSUFFICIENT_FUNDS
txn_000316_c451ba,merchant_005,1761.16,2026-08-02T21:01:38,wallet,insufficient_funds,0,0.34,0.0328,0.0,0.095,3,3,0,INSUFFICIENT_FUNDS
txn_001343_c0c2b0,merchant_022,555.34,2026-08-02T21:27:10,netbanking,card_expired,0,4.86,0.0629,0.0387,0.0164,4,2,0,CARD_DECLINE
txn_001053_1c0221,merchant_001,3422.62,2026-08-02T21:39:24,upi,insufficient_funds,0,1.35,0.1077,0.0186,0.0804,4,6,0,INSUFFICIENT_FUNDS
txn_001267_d0113b,merchant_033,255.24,2026-08-02T22:17:32,wallet,insufficient_funds,1,0.16,0.0484,0.079,0.0,5,0,0,INSUFFICIENT_FUNDS
txn_000850_393313,merchant_010,603.34,2026-08-02T22:17:35,wallet,insufficient_funds,0,0.74,0.0678,0.1093,0.1123,0,2,0,INSUFFICIENT_FUNDS
txn_000786_d20b4f,merchant_017,3305.15,2026-08-02T22:29:32,wallet,card_expired,0,1.09,0.1441,0.0626,0.0393,1,4,0,CARD_DECLINE
txn_000449_354858,merchant_013,1608.89,2026-08-02T22:43:57,card,insufficient_funds,1,1.99,0.0838,0.0401,0.0,1,2,0,INSUFFICIENT_FUNDS
txn_000807_ff0b20,merchant_026,1270.72,2026-08-02T23:01:36,card,otp_timeout,1,0.82,0.0,0.0563,0.0564,8,3,0,OTP_TIMEOUT
txn_001425_a9de1c,merchant_013,3424.5,2026-08-02T23:27:45,netbanking,3ds_auth_failed,1,0.55,0.1244,0.0771,0.0355,1,0,0,OTP_TIMEOUT
txn_000182_416e3a,merchant_011,2913.6,2026-08-02T23:29:30,upi,3ds_auth_failed,1,0.13,0.0179,0.0852,0.0907,6,1,0,OTP_TIMEOUT
txn_000607_b1ea4e,merchant_037,606.41,2026-08-02T23:33:18,netbanking,gateway_timeout,1,9.38,0.2842,0.142,0.118,8,0,0,WEBHOOK_AMBIGUITY
txn_000170_522c8a,merchant_032,156.15,2026-08-03T00:39:38,netbanking,3ds_auth_failed,1,3.13,0.1311,0.0269,0.0924,5,0,0,OTP_TIMEOUT
txn_001266_a81fcf,merchant_001,5756.62,2026-08-03T00:50:28,netbanking,unknown,1,5.2,0.1564,0.3073,0.1382,2,1,0,WEBHOOK_AMBIGUITY
txn_000268_15d862,merchant_036,999.97,2026-08-03T01:53:53,card,insufficient_funds,0,0.72,0.0208,0.1318,0.0357,0,1,0,INSUFFICIENT_FUNDS
txn_001052_74ede6,merchant_001,1757.99,2026-08-03T03:06:02,upi,issuer_declined,0,0.83,0.0,0.0719,0.0155,2,2,0,CARD_DECLINE
